building_id,orientation,facade_length,distance_to_camera,X,Y,RUN,FOTO,viewing_quality,midpoint_x,midpoint_y
182137837,N,3.5175863737573865,6.8573657938505495,605200.186,4962373.803,116,pano_000116_000047.jpg,0.9994211757096819,605197.6473844482,4962367.4328432735
182138080,N,6.976056961506679,6.8587210400801855,605280.119,4962344.779,116,pano_000116_000019.jpg,0.9813752701251366,605276.582700306,4962338.9022118645
179469888,S,13.169812065714224,6.861344668784564,603608.206,4959681.088,82,pano_000082_000009.jpg,0.9999999397860135,603611.976805102,4959686.820283973
182136652,N,10.023391079418236,6.8662474609800155,605231.558,4962362.358,116,pano_000116_000036.jpg,0.991927831035619,605230.081742066,4962355.65232951
182137642,N,4.0504673136382605,6.8670297252765184,605283.002,4962343.781,116,pano_000116_000018.jpg,0.9865104648500882,605281.7668752945,4962337.025960088
1380916876,W,11.809553738984933,6.867846160489548,602778.637,4961859.37,22,pano_000022_000051.jpg,0.9947914094370279,602785.3934690922,4961858.138157358
182138094,S,14.746442798989166,6.882029954049981,605312.163,4962146.909,95,pano_000095_000046.jpg,0.9957509909776656,605308.3281617839,4962152.623573663
1380916837,N,13.9347283412555,6.893223721681798,602889.277,4961986.101,18,pano_000018_000101.jpg,0.9942731192233553,602886.5413844264,4961979.773841023
182138152,N,4.334816103868838,6.897530882687996,605223.039,4962319.59,117,pano_000117_000030.jpg,0.9911461795722015,605221.010957886,4962312.9973542895
2427037,N,6.11093989951826,6.898214699676497,605225.822,4962364.411,116,pano_000116_000038.jpg,0.9871455634628269,605222.4870236414,4962358.372515196
2427048,N,8.94176749528121,6.920855171907612,605194.492,4962375.964,116,pano_000116_000049.jpg,0.9990787040146094,605191.8021734767,4962369.587239883
182137583,N,15.91848251388595,6.926923275813387,605189.62,4962334.346,117,pano_000117_000042.jpg,0.9994387105053957,605187.2289649809,4962327.844829521
179470488,N,8.177610215251123,6.928417657027233,603784.562,4959674.027,80,pano_000080_000058.jpg,0.940899050615833,603779.2651746217,4959669.560836978
179587320,E,6.506112757204162,6.951807372144035,602817.205,4961800.378,17,pano_000017_000000.jpg,0.9942961628312966,602810.3797139963,4961801.698263878
